,Location,subdomain,technology,Main_Domain_Server_Response
235,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",merchant-feedback.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
237,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",la.shopify.com,"['Google Tag Manager', 'Next.js', 'HSTS', 'React', 'Vercel']",
239,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",discover.data.shopify.com,Not Reachable,
241,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",canada.analytics.shopify.com,['HSTS'],
243,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",core.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
245,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sourcing.shopify.com,['HSTS'],
247,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sourcing-admin.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
249,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sourcing-supplier.shopify.com,['HSTS'],
253,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sourcing-core.shopify.com,['HSTS'],
255,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",store.shopify.com,"['HTTP/3', 'Cloudflare']",
257,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",stockroom.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
263,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",photos.shopify.com,"['Cloudflare Bot Management', 'Cloudflare']",
269,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",classifieds.shopify.com,"['Ruby on Rails', 'HSTS']",
271,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",polaris-icons.shopify.com,"['HTTP/3', 'Next.js', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
273,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",polaris.shopify.com,"['HTTP/3', 'Next.js', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
275,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",crafted.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
